status,line,reason,raw_row
adjusted,45,"Invalid freight -> 0 used","20/Jan/26 | Done | 06/Jan/26 | LES-3984 | 14ft | 257832 | 1957446 | Abdullah Traders | Phool Nagar |  |  | 4,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,46,"Invalid date -> today used","20/Jan/26 | Done | 06/Jan/26 | LRC-4976 | 14ft | 257857 | 1957451 | National International | Lahore |  |  | - | 16,500 |  |  |  |  |  |  |  |  |  | "
adjusted,46,"Invalid tender -> 0 used","20/Jan/26 | Done | 06/Jan/26 | LRC-4976 | 14ft | 257857 | 1957451 | National International | Lahore |  |  | - | 16,500 |  |  |  |  |  |  |  |  |  | "
adjusted,47,"Invalid date -> today used","20/Jan/26 | Done | 06/Jan/26 | LRC-4976 | 14ft | 257858 | 1957451 | Ithad Enterprises | Lahore |  |  | 3,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,47,"Invalid freight -> 0 used","20/Jan/26 | Done | 06/Jan/26 | LRC-4976 | 14ft | 257858 | 1957451 | Ithad Enterprises | Lahore |  |  | 3,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,48,"Invalid date -> today used","20/Jan/26 | Done | 06/Jan/26 | Z-9701 | 40ft@32T | 257829 | 1957450 | AS Traders | Peshawar |  |  | - | 150,000 |  |  |  |  |  |  |  |  |  | "
adjusted,48,"Invalid tender -> 0 used","20/Jan/26 | Done | 06/Jan/26 | Z-9701 | 40ft@32T | 257829 | 1957450 | AS Traders | Peshawar |  |  | - | 150,000 |  |  |  |  |  |  |  |  |  | "
adjusted,49,"Invalid date -> today used","20/Jan/26 | Done | 07/Jan/26 | LES-4197 | 14ft | 257909 | 1957454 | Miraj Din & Co | Dera Ghazi Khan |  |  | - | 36,500 |  |  |  |  |  |  |  |  |  | "
adjusted,49,"Invalid tender -> 0 used","20/Jan/26 | Done | 07/Jan/26 | LES-4197 | 14ft | 257909 | 1957454 | Miraj Din & Co | Dera Ghazi Khan |  |  | - | 36,500 |  |  |  |  |  |  |  |  |  | "
adjusted,50,"Invalid date -> today used","20/Jan/26 | Done | 07/Jan/26 | LES-4197 | 14ft | 257908 | 1957454 | Sheikh Nizam Din & Co | Dera Ghazi Khan |  |  | - |  |  |  |  |  |  |  |  |  |  | "
adjusted,50,"Invalid freight -> 0 used","20/Jan/26 | Done | 07/Jan/26 | LES-4197 | 14ft | 257908 | 1957454 | Sheikh Nizam Din & Co | Dera Ghazi Khan |  |  | - |  |  |  |  |  |  |  |  |  |  | "
adjusted,50,"Invalid tender -> 0 used","20/Jan/26 | Done | 07/Jan/26 | LES-4197 | 14ft | 257908 | 1957454 | Sheikh Nizam Din & Co | Dera Ghazi Khan |  |  | - |  |  |  |  |  |  |  |  |  |  | "
adjusted,51,"Invalid date -> today used","20/Jan/26 | Done | 07/Jan/26 | LES-3984 | 14ft | 257894 | 1957461 | Zaman Traders | Lahore |  |  | - | 16,500 |  |  |  |  |  |  |  |  |  | "
adjusted,51,"Invalid tender -> 0 used","20/Jan/26 | Done | 07/Jan/26 | LES-3984 | 14ft | 257894 | 1957461 | Zaman Traders | Lahore |  |  | - | 16,500 |  |  |  |  |  |  |  |  |  | "
adjusted,52,"Invalid date -> today used","20/Jan/26 | Done | 07/Jan/26 | LES-3984 | 14ft | 257895 | 1957461 | Anas Traders | Lahore |  |  | 3,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,52,"Invalid freight -> 0 used","20/Jan/26 | Done | 07/Jan/26 | LES-3984 | 14ft | 257895 | 1957461 | Anas Traders | Lahore |  |  | 3,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,53,"Invalid date -> today used","20/Jan/26 | Done | 07/Jan/26 | LES-8900 | 14ft | 257893 | 1957459 | Sitara Marketing | Lahore |  |  | - | 16,500 |  |  |  |  |  |  |  |  |  | "
adjusted,53,"Invalid tender -> 0 used","20/Jan/26 | Done | 07/Jan/26 | LES-8900 | 14ft | 257893 | 1957459 | Sitara Marketing | Lahore |  |  | - | 16,500 |  |  |  |  |  |  |  |  |  | "
adjusted,54,"Invalid date -> today used","20/Jan/26 | Done | 07/Jan/26 | LES-8900 | 14ft | 257892 | 1957459 | Yusra Marketing | Lahore |  |  | 3,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,54,"Invalid freight -> 0 used","20/Jan/26 | Done | 07/Jan/26 | LES-8900 | 14ft | 257892 | 1957459 | Yusra Marketing | Lahore |  |  | 3,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,55,"Invalid date -> today used","20/Jan/26 | Done | 07/Jan/26 | FDP-4076 | 20ft | 257899 | 1957456 | SK Traders | Gujjar Khan |  |  | - | 83,000 |  |  |  |  |  |  |  |  |  | "
adjusted,55,"Invalid tender -> 0 used","20/Jan/26 | Done | 07/Jan/26 | FDP-4076 | 20ft | 257899 | 1957456 | SK Traders | Gujjar Khan |  |  | - | 83,000 |  |  |  |  |  |  |  |  |  | "
adjusted,56,"Invalid date -> today used","20/Jan/26 | Done | 07/Jan/26 | FDP-4076 | 20ft | 257898 | 1957456 | Arrain Traders | Kahuta |  |  | 6,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,56,"Invalid freight -> 0 used","20/Jan/26 | Done | 07/Jan/26 | FDP-4076 | 20ft | 257898 | 1957456 | Arrain Traders | Kahuta |  |  | 6,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,57,"Invalid date -> today used","20/Jan/26 | Done | 07/Jan/26 | TKB-440 | 20ft | 257897 | 1957472 | Imtiaz Group | Islamabad |  |  | - | 79,000 |  |  |  |  |  |  |  |  |  | "
adjusted,57,"Invalid tender -> 0 used","20/Jan/26 | Done | 07/Jan/26 | TKB-440 | 20ft | 257897 | 1957472 | Imtiaz Group | Islamabad |  |  | - | 79,000 |  |  |  |  |  |  |  |  |  | "
adjusted,58,"Invalid date -> today used","20/Jan/26 | Done | 07/Jan/26 | TKB-440 | 20ft | 257896 | 1957472 | Bahawal Traders | Rawalpindi |  |  | 6,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,58,"Invalid freight -> 0 used","20/Jan/26 | Done | 07/Jan/26 | TKB-440 | 20ft | 257896 | 1957472 | Bahawal Traders | Rawalpindi |  |  | 6,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,59,"Invalid date -> today used","20/Jan/26 | Done | 07/Jan/26 | NAB-246 | 20ft | 257900 | 1957473 | Aims Marketing | Islamabad |  |  | - | 76,000 |  |  |  |  |  |  |  |  |  | "
adjusted,59,"Invalid tender -> 0 used","20/Jan/26 | Done | 07/Jan/26 | NAB-246 | 20ft | 257900 | 1957473 | Aims Marketing | Islamabad |  |  | - | 76,000 |  |  |  |  |  |  |  |  |  | "
adjusted,60,"Invalid date -> today used","20/Jan/26 | Done | 07/Jan/26 | CAB-3566 | 14ft | 257903 | 1957460 | Reliable Distribution | Multan |  |  | - | 30,000 |  |  |  |  |  |  |  |  |  | "
adjusted,60,"Invalid tender -> 0 used","20/Jan/26 | Done | 07/Jan/26 | CAB-3566 | 14ft | 257903 | 1957460 | Reliable Distribution | Multan |  |  | - | 30,000 |  |  |  |  |  |  |  |  |  | "
